               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/dog_mAP,  metrics/person_mAP,     metrics/cat_mAP,      metrics/tv_mAP,     metrics/car_mAP,metrics/meatballs_mAP,metrics/marinara sauce_mAP,metrics/tomato soup_mAP,metrics/chicken noodle soup_mAP,metrics/french onion soup_mAP,metrics/chicken breast_mAP,    metrics/ribs_mAP,metrics/pulled pork_mAP,metrics/hamburger_mAP,  metrics/cavity_mAP,  metrics/Bishop_mAP,    metrics/King_mAP,       metrics/w_mAP,    metrics/Pawn_mAP,  metrics/Knight_mAP,    metrics/Rook_mAP,   metrics/Queen_mAP,       metrics/K_mAP,  metrics/dog_mAP_50,metrics/person_mAP_50,  metrics/cat_mAP_50,   metrics/tv_mAP_50,  metrics/car_mAP_50,metrics/meatballs_mAP_50,metrics/marinara sauce_mAP_50,metrics/tomato soup_mAP_50,metrics/chicken noodle soup_mAP_50,metrics/french onion soup_mAP_50,metrics/chicken breast_mAP_50, metrics/ribs_mAP_50,metrics/pulled pork_mAP_50,metrics/hamburger_mAP_50,metrics/cavity_mAP_50,metrics/Bishop_mAP_50, metrics/King_mAP_50,    metrics/w_mAP_50, metrics/Pawn_mAP_50,metrics/Knight_mAP_50, metrics/Rook_mAP_50,metrics/Queen_mAP_50,    metrics/K_mAP_50
                   0,             0.10756,             0.13833,            0.084076,                   0,                   0,                   0,                   0,             0.10346,            0.065564,            0.087742,              0.0982,              0.0002,              0.0002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,              0.1035,             0.17081,            0.083504,                   0,                   0,                   0,                   0,            0.099914,            0.068505,            0.086778,            0.095495,          0.00049505,          0.00049505,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   2,             0.10397,             0.18183,            0.082886,           0.0011737,            0.055556,            0.037611,           0.0051607,            0.097016,            0.070301,            0.085877,            0.092784,          0.00078416,          0.00078416,                   0,                   0,                   0,                   0,            0.030964,                   0,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,           0.0051607,                   0,                   0,                   0,                   0,             0.22567,                   0,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611,            0.037611
                   3,             0.10131,             0.12913,            0.081753,           0.0005144,            0.027778,           0.0057152,           0.0017146,            0.090534,             0.07441,            0.084576,            0.090067,           0.0010673,           0.0010673,                   0,                   0,                   0,                   0,            0.010287,                   0,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,           0.0017146,                   0,                   0,                   0,                   0,            0.034291,                   0,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152,           0.0057152
                   4,             0.10201,             0.17776,            0.081179,           0.0045471,            0.058957,            0.019448,           0.0021273,            0.087935,            0.074957,            0.083879,            0.087345,           0.0013446,           0.0013446,                   0,                   0,           0.0021897,                   0,            0.010574,                   0,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,           0.0021273,                   0,                   0,            0.010948,                   0,             0.10574,                   0,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448,            0.019448
                   5,            0.098228,             0.16222,            0.079555,           0.0082161,            0.037982,           0.0066741,           0.0009479,            0.083228,            0.074653,            0.082194,            0.084616,           0.0016158,           0.0016158,                   0,                   0,           0.0045548,                   0,           0.0011325,                   0,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,           0.0009479,                   0,                   0,            0.028719,                   0,            0.011325,                   0,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741,           0.0066741
                   6,            0.097643,             0.15459,            0.079265,            0.015385,            0.020408,            0.009567,           0.0019721,            0.082253,            0.072547,            0.081515,            0.081881,           0.0018812,           0.0018812,                   0,                   0,            0.011832,                   0,                   0,                   0,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,           0.0019721,                   0,                   0,            0.057402,                   0,                   0,                   0,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567,            0.009567
                   7,            0.094862,             0.16687,            0.078027,            0.022821,            0.084136,            0.015294,            0.007578,            0.081215,            0.069731,            0.080482,            0.079141,           0.0021406,           0.0021406,                   0,           0.0088604,            0.011506,            0.024699,          0.00040238,                   0,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,            0.007578,                   0,            0.030448,            0.028428,            0.030874,           0.0020119,                   0,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294,            0.015294
                   8,            0.093819,             0.15708,            0.076812,            0.035322,              0.1096,            0.038678,            0.019732,            0.080462,            0.065695,            0.079645,            0.076394,           0.0023941,           0.0023941,                   0,            0.023262,            0.014246,            0.080885,                   0,                   0,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,            0.019732,                   0,            0.063956,            0.033303,             0.13481,                   0,                   0,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678,            0.038678
                   9,            0.088242,             0.14406,            0.076157,            0.038805,             0.27868,            0.072576,            0.026985,            0.078247,            0.061882,            0.078422,            0.073642,           0.0026416,           0.0026416,                   0,            0.013937,            0.087971,            0.056262,           0.0037406,                   0,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,            0.026985,                   0,            0.042388,             0.22816,             0.15547,           0.0094418,                   0,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576,            0.072576
                  10,            0.090624,             0.11423,            0.074806,            0.032158,             0.26847,             0.07461,            0.030607,            0.077653,            0.057183,            0.077445,            0.070883,           0.0028832,           0.0028832,                   0,            0.013927,            0.075616,            0.088342,           0.0057568,                   0,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,            0.030607,                   0,            0.052098,             0.20733,             0.17533,            0.012899,                   0,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461,             0.07461
                  11,            0.086963,             0.12504,             0.07375,            0.033013,              0.2859,            0.063534,            0.025244,            0.076598,            0.053114,            0.075282,            0.068119,           0.0031189,           0.0031189,                   0,            0.017403,            0.074437,            0.049781,            0.009842,                   0,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,            0.025244,                   0,             0.05266,             0.22285,            0.078385,            0.027306,                   0,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534,            0.063534
                  12,            0.085896,             0.12809,            0.071898,            0.027519,             0.15358,            0.068655,            0.039572,            0.074768,             0.05383,            0.072409,            0.065349,           0.0033486,           0.0033486,                   0,            0.011288,              0.0341,             0.19205,                   0,                   0,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,            0.039572,                   0,            0.047008,            0.078837,             0.28609,                   0,                   0,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655,            0.068655
                  13,            0.083438,             0.10197,            0.070064,            0.038886,             0.19416,            0.045394,            0.018135,            0.074376,            0.055174,            0.068957,            0.062572,           0.0035723,           0.0035723,                   0,            0.033278,            0.026517,            0.049012,                   0,                   0,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,            0.018135,                   0,            0.088525,            0.055297,             0.12854,                   0,                   0,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394,            0.045394
                  14,             0.08297,             0.11659,             0.06702,            0.035659,             0.21145,            0.044866,            0.018466,            0.074376,            0.055174,            0.068957,             0.05979,           0.0037902,           0.0037902,                   0,            0.034708,              0.0368,            0.039289,                   0,                   0,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,            0.018466,                   0,            0.092056,            0.075531,             0.10161,                   0,                   0,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866,            0.044866
                  15,             0.08472,             0.11931,            0.066421,            0.035901,             0.19416,            0.044647,            0.016752,            0.071611,            0.062583,            0.066578,            0.057002,           0.0040021,           0.0040021,                   0,            0.034502,           0.0079757,            0.058036,                   0,                   0,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,            0.016752,                   0,            0.087821,            0.023139,             0.15692,                   0,                   0,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647,            0.044647
                  16,            0.082506,             0.12151,            0.066944,            0.036843,             0.29674,             0.07796,            0.025747,            0.074915,            0.067516,            0.064555,            0.054208,            0.004208,            0.004208,                   0,             0.06613,            0.027462,             0.05961,           0.0012802,                   0,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,                   0,             0.21246,            0.074962,             0.17394,           0.0064009,                   0,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796
                  17,            0.079682,             0.12756,            0.064426,            0.036843,             0.29674,             0.07796,            0.025747,            0.074915,            0.067516,            0.064555,            0.051408,            0.004408,            0.004408,                   0,             0.06613,            0.027462,             0.05961,           0.0012802,                   0,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,            0.025747,                   0,             0.21246,            0.074962,             0.17394,           0.0064009,                   0,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796,             0.07796
                  18,            0.080647,             0.12188,            0.065179,             0.04131,             0.31051,            0.084595,             0.03381,            0.071799,            0.077161,            0.063206,            0.048602,           0.0046021,           0.0046021,                   0,             0.10894,            0.026828,            0.058858,           0.0082415,                   0,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,             0.03381,                   0,             0.31195,            0.075268,             0.10143,            0.018917,                   0,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595,            0.084595
