               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/Bishop_mAP,    metrics/King_mAP,    metrics/Pawn_mAP,   metrics/Queen_mAP,    metrics/Rook_mAP,  metrics/Knight_mAP,metrics/Bishop_mAP_50, metrics/King_mAP_50, metrics/Pawn_mAP_50,metrics/Queen_mAP_50, metrics/Rook_mAP_50,metrics/Knight_mAP_50
                   0,             0.12274,            0.098021,            0.057631,                   0,                   0,                   0,                   0,             0.11302,            0.056929,            0.059611,              0.0982,              0.0002,              0.0002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,             0.11855,             0.12432,            0.057037,           0.0095238,            0.037037,            0.014391,           0.0014391,             0.11009,            0.058559,            0.059021,            0.095495,          0.00049505,          0.00049505,                   0,                   0,                   0,           0.0086349,                   0,                   0,                   0,                   0,                   0,            0.086349,                   0,                   0
                   2,             0.11882,             0.13135,            0.056477,           0.0087719,            0.037037,             0.01172,            0.002344,             0.10703,            0.060467,            0.058502,            0.092784,          0.00078416,          0.00078416,                   0,                   0,                   0,            0.014064,                   0,                   0,                   0,                   0,                   0,            0.070321,                   0,                   0
                   3,             0.11387,             0.10434,            0.056803,           0.0057471,            0.037037,            0.009719,           0.0048595,             0.10049,            0.064459,            0.057671,            0.090067,           0.0010673,           0.0010673,                   0,                   0,                   0,            0.029157,                   0,                   0,                   0,                   0,                   0,            0.058314,                   0,                   0
                   4,             0.11449,             0.14083,            0.055606,           0.0072857,            0.062358,            0.019191,           0.0050065,            0.095626,            0.067042,            0.057296,            0.087345,           0.0013446,           0.0013446,                   0,                   0,           0.0015662,            0.028473,                   0,                   0,                   0,                   0,           0.0045532,             0.11059,                   0,                   0
                   5,             0.10791,             0.14212,             0.05508,            0.013805,             0.10157,            0.018079,           0.0030052,            0.088488,            0.069541,            0.056827,            0.084616,           0.0016158,           0.0016158,                   0,           0.0018023,           0.0024447,            0.013784,                   0,                   0,                   0,           0.0065486,            0.014449,            0.087477,                   0,                   0
                   6,             0.10464,             0.14307,            0.054013,           0.0077407,             0.08768,            0.042194,            0.011827,            0.085667,            0.068916,            0.056377,            0.081881,           0.0018812,           0.0018812,                   0,            0.068053,           0.0019487,          0.00096294,                   0,                   0,                   0,             0.23709,            0.011259,           0.0048147,                   0,                   0
                   7,             0.10051,              0.1601,            0.053795,            0.010856,             0.12472,            0.022944,           0.0058194,            0.084441,            0.066939,            0.055742,            0.079141,           0.0021406,           0.0021406,                   0,             0.02844,           0.0019456,           0.0045302,                   0,                   0,                   0,             0.11357,           0.0089974,            0.015101,                   0,                   0
                   8,             0.09789,             0.15758,            0.052781,            0.010593,              0.1318,            0.015811,            0.005449,            0.083779,            0.063476,            0.055101,            0.076394,           0.0023941,           0.0023941,                   0,            0.023696,           0.0021593,            0.006839,                   0,                   0,                   0,            0.073586,           0.0041411,            0.017139,                   0,                   0
                   9,            0.093833,             0.14213,             0.05209,            0.010718,             0.12009,            0.015299,           0.0055529,            0.081903,            0.061813,            0.053693,            0.073642,           0.0026416,           0.0026416,                   0,            0.022602,           0.0039366,           0.0067793,                   0,                   0,                   0,            0.063689,            0.014546,            0.013559,                   0,                   0
                  10,            0.094663,             0.11636,             0.05159,            0.014554,             0.19293,            0.032083,            0.011366,            0.078481,             0.05979,            0.051707,            0.070883,           0.0028832,           0.0028832,                   0,            0.031872,            0.019748,            0.016576,                   0,                   0,                   0,             0.10141,            0.046465,            0.044626,                   0,                   0
                  11,             0.08976,              0.1322,            0.051545,            0.013441,             0.15712,            0.026388,            0.010667,            0.078489,            0.056125,            0.051887,            0.068119,           0.0031189,           0.0031189,                   0,            0.027065,            0.025569,            0.011369,                   0,                   0,                   0,            0.069574,            0.057342,            0.031409,                   0,                   0
                  12,            0.090048,             0.13359,            0.051292,            0.049633,            0.034439,            0.044069,            0.013631,            0.073946,            0.055054,            0.051927,            0.065349,           0.0033486,           0.0033486,                   0,            0.047334,            0.026954,           0.0075007,                   0,                   0,                   0,             0.17642,              0.0619,            0.026093,                   0,                   0
                  13,             0.08902,             0.10234,            0.049848,            0.027972,            0.044785,            0.031161,           0.0080944,            0.079926,            0.051616,            0.052624,            0.062572,           0.0035723,           0.0035723,                   0,            0.018802,            0.011504,              0.0162,           0.0020605,                   0,                   0,            0.089847,            0.035863,            0.055441,           0.0058161,                   0
                  14,            0.082945,             0.12332,            0.047599,            0.030527,            0.085459,            0.036169,            0.010408,            0.079926,            0.051616,            0.052624,             0.05979,           0.0037902,           0.0037902,                   0,            0.014442,            0.035227,            0.011099,           0.0016776,                   0,                   0,            0.067498,              0.1094,            0.035582,           0.0045309,                   0
                  15,              0.0857,              0.1247,            0.047275,            0.046349,             0.24391,            0.058695,             0.01487,            0.077913,            0.052253,            0.052983,            0.057002,           0.0040021,           0.0040021,          0.00076303,            0.014172,            0.056116,            0.014805,           0.0033634,                   0,           0.0038152,            0.059331,             0.24084,            0.031828,            0.016355,                   0
                  16,            0.083421,             0.12526,            0.047094,             0.90168,             0.06148,            0.083156,            0.021855,            0.072646,            0.060658,            0.053112,            0.054208,            0.004208,            0.004208,                   0,            0.020303,             0.07727,            0.030115,           0.0034416,                   0,                   0,            0.058895,             0.24405,             0.18846,            0.007525,                   0
                  17,            0.081614,             0.12821,            0.045736,             0.90168,             0.06148,            0.083156,            0.021855,            0.072646,            0.060658,            0.053112,            0.051408,            0.004408,            0.004408,                   0,            0.020303,             0.07727,            0.030115,           0.0034416,                   0,                   0,            0.058895,             0.24405,             0.18846,            0.007525,                   0
                  18,            0.082114,             0.12247,            0.047029,             0.21306,            0.092902,            0.047499,            0.008204,            0.069982,            0.076305,            0.053112,            0.048602,           0.0046021,           0.0046021,                   0,            0.013612,            0.016125,            0.019487,                   0,                   0,                   0,            0.059647,            0.059068,             0.16628,                   0,                   0
                  19,            0.076671,            0.098107,            0.046241,             0.21935,             0.24272,            0.090988,            0.027799,            0.074853,            0.073673,            0.052539,             0.04579,           0.0047902,           0.0047902,                   0,             0.03639,            0.074023,            0.046853,           0.0095308,                   0,                   0,             0.12797,             0.21942,             0.16403,            0.034506,                   0
                  20,            0.082212,             0.12256,            0.044408,             0.21935,             0.24272,            0.090988,            0.027799,            0.074853,            0.073673,            0.052539,            0.042972,           0.0049724,           0.0049724,                   0,             0.03639,            0.074023,            0.046853,           0.0095308,                   0,                   0,             0.12797,             0.21942,             0.16403,            0.034506,                   0
                  21,            0.085467,             0.11092,            0.043078,            0.049995,             0.19416,             0.08698,            0.029111,             0.08251,            0.081956,            0.051476,            0.040149,           0.0051487,           0.0051487,                   0,            0.053428,            0.019824,             0.10141,                   0,                   0,                   0,             0.14631,             0.07512,             0.30044,                   0,                   0
                  22,            0.090526,             0.10278,            0.044097,            0.049995,             0.19416,             0.08698,            0.029111,             0.08251,            0.081956,            0.051476,            0.037319,            0.005319,            0.005319,                   0,            0.053428,            0.019824,             0.10141,                   0,                   0,                   0,             0.14631,             0.07512,             0.30044,                   0,                   0
                  23,            0.086651,             0.10401,            0.042682,            0.086037,             0.19416,             0.13592,             0.03738,             0.08716,            0.069409,            0.050193,            0.034483,           0.0054833,           0.0054833,                   0,            0.044476,           0.0096895,             0.17011,                   0,                   0,                   0,             0.15717,            0.050681,             0.60766,                   0,                   0
                  24,            0.084143,             0.11462,            0.039143,            0.086037,             0.19416,             0.13592,             0.03738,             0.08716,            0.069409,            0.050193,            0.031642,           0.0056418,           0.0056418,                   0,            0.044476,           0.0096895,             0.17011,                   0,                   0,                   0,             0.15717,            0.050681,             0.60766,                   0,                   0
                  25,            0.085057,             0.11327,            0.040764,             0.28407,            0.091081,            0.069866,             0.01766,            0.076685,            0.067449,            0.050022,            0.028794,           0.0057942,           0.0057942,                   0,            0.047685,            0.015529,            0.042748,                   0,                   0,                   0,             0.13976,            0.086727,              0.1927,                   0,                   0
                  26,            0.083495,             0.12527,            0.046795,            0.037132,             0.11777,            0.062361,            0.014533,            0.076685,            0.067449,            0.050022,            0.025941,           0.0059408,           0.0059408,                   0,            0.029612,            0.011383,            0.046204,                   0,                   0,                   0,            0.099816,            0.068466,             0.20588,                   0,                   0
                  27,            0.083817,            0.088089,            0.045562,             0.10686,              0.1721,             0.12548,            0.036689,            0.083099,            0.052368,            0.047611,            0.023081,           0.0060814,           0.0060814,                   0,            0.031254,           0.0028785,               0.186,                   0,                   0,                   0,             0.20419,           0.0093603,             0.53933,                   0,                   0
                  28,            0.081423,             0.11289,            0.044348,             0.12121,             0.14324,             0.10544,            0.027773,            0.083099,            0.052368,            0.047611,            0.020216,           0.0062161,           0.0062161,                   0,            0.031118,           0.0026501,             0.13287,                   0,                   0,                   0,             0.19794,           0.0079579,             0.42676,                   0,                   0
                  29,            0.079176,            0.084343,            0.040077,             0.10686,              0.1721,             0.12548,            0.036689,            0.083099,            0.052368,            0.047611,            0.017345,           0.0063448,           0.0063448,                   0,            0.031254,           0.0028785,               0.186,                   0,                   0,                   0,             0.20419,           0.0093603,             0.53933,                   0,                   0
                  30,            0.077185,            0.096616,            0.042232,              0.2957,             0.23963,              0.2188,            0.081546,            0.072351,             0.04712,            0.046166,            0.014468,           0.0064676,           0.0064676,                   0,             0.12913,           0.0065182,             0.32223,             0.03139,                   0,                   0,             0.37474,            0.034269,             0.78028,             0.12348,                   0
                  31,             0.07697,             0.10802,            0.040807,              0.2957,             0.23963,              0.2188,            0.081546,            0.072351,             0.04712,            0.046166,            0.011584,           0.0065844,           0.0065844,                   0,             0.12913,           0.0065182,             0.32223,             0.03139,                   0,                   0,             0.37474,            0.034269,             0.78028,             0.12348,                   0
                  32,            0.071668,             0.10304,            0.042179,             0.19523,             0.38974,             0.20876,            0.062728,            0.070061,            0.046321,            0.046442,           0.0086954,           0.0066954,           0.0066954,            0.033934,            0.055274,            0.049542,              0.2235,            0.014116,                   0,            0.093816,             0.19912,             0.15432,              0.7656,            0.039716,                   0
                  33,            0.075639,             0.08152,            0.041897,             0.19523,             0.38974,             0.20876,            0.062728,            0.070061,            0.046321,            0.046442,            0.006733,            0.006733,            0.006733,            0.033934,            0.055274,            0.049542,              0.2235,            0.014116,                   0,            0.093816,             0.19912,             0.15432,              0.7656,            0.039716,                   0
                  34,            0.082708,             0.10151,            0.042001,             0.19523,             0.38974,             0.20876,            0.062728,            0.070061,            0.046321,            0.046442,            0.006733,            0.006733,            0.006733,            0.033934,            0.055274,            0.049542,              0.2235,            0.014116,                   0,            0.093816,             0.19912,             0.15432,              0.7656,            0.039716,                   0
                  35,            0.079209,              0.1118,            0.041547,            0.023939,            0.085506,            0.031299,            0.012257,            0.091113,            0.071742,            0.047591,            0.006634,            0.006634,            0.006634,                   0,            0.045173,           0.0025962,            0.025774,                   0,                   0,                   0,             0.13518,           0.0085497,            0.044067,                   0,                   0
                  36,            0.082125,             0.10686,            0.041087,            0.023939,            0.085506,            0.031299,            0.012257,            0.091113,            0.071742,            0.047591,            0.006535,            0.006535,            0.006535,                   0,            0.045173,           0.0025962,            0.025774,                   0,                   0,                   0,             0.13518,           0.0085497,            0.044067,                   0,                   0
                  37,            0.084952,             0.10342,            0.038768,            0.023939,            0.085506,            0.031299,            0.012257,            0.091113,            0.071742,            0.047591,            0.006436,            0.006436,            0.006436,                   0,            0.045173,           0.0025962,            0.025774,                   0,                   0,                   0,             0.13518,           0.0085497,            0.044067,                   0,                   0
                  38,            0.069641,            0.094205,             0.04112,            0.044676,            0.085506,            0.056747,            0.029776,            0.070245,            0.062621,            0.046728,            0.006337,            0.006337,            0.006337,                   0,            0.062422,           0.0046291,             0.11161,                   0,                   0,                   0,             0.13101,            0.020067,             0.18941,                   0,                   0
                  39,            0.065368,             0.10874,            0.039034,            0.044676,            0.085506,            0.056747,            0.029776,            0.070245,            0.062621,            0.046728,            0.006238,            0.006238,            0.006238,                   0,            0.062422,           0.0046291,             0.11161,                   0,                   0,                   0,             0.13101,            0.020067,             0.18941,                   0,                   0
                  40,            0.064818,            0.077558,            0.042321,            0.018052,            0.085506,            0.054438,           0.0093409,            0.078589,            0.063815,            0.045586,            0.006139,            0.006139,            0.006139,                   0,            0.029602,           0.0021045,            0.024339,                   0,                   0,                   0,            0.078114,           0.0051303,             0.24339,                   0,                   0
                  41,            0.077331,            0.088766,            0.037136,            0.018052,            0.085506,            0.054438,           0.0093409,            0.078589,            0.063815,            0.045586,             0.00604,             0.00604,             0.00604,                   0,            0.029602,           0.0021045,            0.024339,                   0,                   0,                   0,            0.078114,           0.0051303,             0.24339,                   0,                   0
                  42,            0.078778,             0.11781,            0.042431,            0.018052,            0.085506,            0.054438,           0.0093409,            0.078589,            0.063815,            0.045586,            0.005941,            0.005941,            0.005941,                   0,            0.029602,           0.0021045,            0.024339,                   0,                   0,                   0,            0.078114,           0.0051303,             0.24339,                   0,                   0
                  43,            0.074947,            0.092732,            0.037401,            0.020434,             0.12254,            0.086261,             0.01804,            0.077876,            0.051996,            0.044412,            0.005842,            0.005842,            0.005842,                   0,            0.024289,            0.002899,            0.081051,                   0,                   0,                   0,            0.057125,            0.004781,             0.45566,                   0,                   0
                  44,            0.074662,            0.091833,            0.039616,            0.020434,             0.12254,            0.086261,             0.01804,            0.077876,            0.051996,            0.044412,            0.005743,            0.005743,            0.005743,                   0,            0.024289,            0.002899,            0.081051,                   0,                   0,                   0,            0.057125,            0.004781,             0.45566,                   0,                   0
                  45,            0.074049,            0.092786,            0.038857,            0.020434,             0.12254,            0.086261,             0.01804,            0.077876,            0.051996,            0.044412,            0.005644,            0.005644,            0.005644,                   0,            0.024289,            0.002899,            0.081051,                   0,                   0,                   0,            0.057125,            0.004781,             0.45566,                   0,                   0
                  46,            0.074485,            0.090751,            0.038139,             0.22743,             0.56682,             0.29511,             0.15537,            0.070061,            0.038394,            0.043987,            0.005545,            0.005545,            0.005545,            0.020436,            0.094782,             0.11369,             0.44196,            0.004596,             0.25676,            0.055415,             0.26449,             0.23034,             0.76296,            0.012465,             0.44496
                  47,            0.074368,             0.11609,            0.039118,             0.22743,             0.56682,             0.29511,             0.15537,            0.070061,            0.038394,            0.043987,            0.005446,            0.005446,            0.005446,            0.020436,            0.094782,             0.11369,             0.44196,            0.004596,             0.25676,            0.055415,             0.26449,             0.23034,             0.76296,            0.012465,             0.44496
                  48,            0.075606,            0.096596,            0.039282,             0.67836,             0.45139,               0.478,             0.19337,            0.067075,            0.034244,            0.043733,            0.005347,            0.005347,            0.005347,              0.2468,             0.25582,             0.23004,             0.28159,           0.0045995,             0.14139,             0.44615,             0.90765,             0.60041,             0.64851,            0.012063,             0.25322
                  49,            0.071022,             0.10333,            0.039512,             0.67836,             0.45139,               0.478,             0.19337,            0.067075,            0.034244,            0.043733,            0.005248,            0.005248,            0.005248,              0.2468,             0.25582,             0.23004,             0.28159,           0.0045995,             0.14139,             0.44615,             0.90765,             0.60041,             0.64851,            0.012063,             0.25322
                  50,            0.073597,            0.098411,            0.037137,             0.67836,             0.45139,               0.478,             0.19337,            0.067075,            0.034244,            0.043733,            0.005149,            0.005149,            0.005149,              0.2468,             0.25582,             0.23004,             0.28159,           0.0045995,             0.14139,             0.44615,             0.90765,             0.60041,             0.64851,            0.012063,             0.25322
                  51,            0.069322,             0.09897,            0.038573,             0.65321,             0.46528,             0.47966,               0.247,            0.060335,            0.033757,            0.043161,             0.00505,             0.00505,             0.00505,             0.22331,             0.25651,              0.2754,             0.48925,            0.024292,             0.21325,              0.3961,             0.78337,             0.48346,             0.74987,             0.11291,             0.35225
                  52,            0.064408,            0.091117,            0.036454,             0.65321,             0.46528,             0.47966,               0.247,            0.060335,            0.033757,            0.043161,            0.004951,            0.004951,            0.004951,             0.22331,             0.25651,              0.2754,             0.48925,            0.024292,             0.21325,              0.3961,             0.78337,             0.48346,             0.74987,             0.11291,             0.35225
                  53,            0.065722,             0.12261,            0.036947,             0.65321,             0.46528,             0.47966,               0.247,            0.060335,            0.033757,            0.043161,            0.004852,            0.004852,            0.004852,             0.22331,             0.25651,              0.2754,             0.48925,            0.024292,             0.21325,              0.3961,             0.78337,             0.48346,             0.74987,             0.11291,             0.35225
                  54,            0.061896,             0.09948,            0.036322,             0.65001,             0.45833,             0.48557,             0.18833,            0.055493,            0.034492,            0.043101,            0.004753,            0.004753,            0.004753,             0.10296,             0.17093,             0.36421,             0.25182,            0.051224,             0.18881,             0.17216,             0.72884,             0.64746,             0.64001,             0.34406,             0.38088
                  55,            0.058137,            0.089462,            0.040377,             0.65001,             0.45833,             0.48557,             0.18833,            0.055493,            0.034492,            0.043101,            0.004654,            0.004654,            0.004654,             0.10296,             0.17093,             0.36421,             0.25182,            0.051224,             0.18881,             0.17216,             0.72884,             0.64746,             0.64001,             0.34406,             0.38088
                  56,            0.057021,            0.091332,            0.038285,             0.65153,             0.41667,             0.34668,            0.086266,            0.070368,            0.036346,            0.043252,            0.004555,            0.004555,            0.004555,             0.10359,             0.11616,              0.1206,            0.097028,           0.0093443,            0.070872,              0.3659,             0.71521,             0.54064,             0.22185,            0.070842,             0.16562
                  57,            0.070892,            0.093768,            0.040827,             0.65153,             0.41667,             0.34668,            0.086266,            0.070368,            0.036346,            0.043252,            0.004456,            0.004456,            0.004456,             0.10359,             0.11616,              0.1206,            0.097028,           0.0093443,            0.070872,              0.3659,             0.71521,             0.54064,             0.22185,            0.070842,             0.16562
                  58,            0.070822,            0.097051,            0.039347,             0.65153,             0.41667,             0.34668,            0.086266,            0.070368,            0.036346,            0.043252,            0.004357,            0.004357,            0.004357,             0.10359,             0.11616,              0.1206,            0.097028,           0.0093443,            0.070872,              0.3659,             0.71521,             0.54064,             0.22185,            0.070842,             0.16562
                  59,            0.068556,            0.087059,            0.039334,             0.67809,             0.42361,             0.47243,             0.16501,            0.062494,            0.035353,            0.043035,            0.004258,            0.004258,            0.004258,             0.18826,             0.16743,             0.45533,            0.074447,            0.050316,            0.054271,             0.37893,             0.79206,             0.92192,             0.24989,             0.29761,             0.19415
                  60,            0.070535,            0.086681,            0.038791,             0.67809,             0.42361,             0.47243,             0.16501,            0.062494,            0.035353,            0.043035,            0.004159,            0.004159,            0.004159,             0.18826,             0.16743,             0.45533,            0.074447,            0.050316,            0.054271,             0.37893,             0.79206,             0.92192,             0.24989,             0.29761,             0.19415
                  61,            0.064664,            0.098877,            0.039933,             0.67809,             0.42361,             0.47243,             0.16501,            0.062494,            0.035353,            0.043035,             0.00406,             0.00406,             0.00406,             0.18826,             0.16743,             0.45533,            0.074447,            0.050316,            0.054271,             0.37893,             0.79206,             0.92192,             0.24989,             0.29761,             0.19415
                  62,            0.059247,             0.09421,            0.038017,             0.69111,             0.43024,             0.54085,             0.24938,            0.053544,            0.034387,            0.042938,            0.003961,            0.003961,            0.003961,             0.24773,             0.24902,             0.63152,            0.072073,             0.23575,            0.060174,                0.37,             0.92746,             0.92788,             0.20337,             0.64238,             0.17403
                  63,            0.058231,            0.089565,            0.038169,             0.69111,             0.43024,             0.54085,             0.24938,            0.053544,            0.034387,            0.042938,            0.003862,            0.003862,            0.003862,             0.24773,             0.24902,             0.63152,            0.072073,             0.23575,            0.060174,                0.37,             0.92746,             0.92788,             0.20337,             0.64238,             0.17403
                  64,            0.064327,            0.098263,            0.039578,             0.69585,             0.47576,             0.56151,             0.15916,            0.064658,            0.037036,            0.042511,            0.003763,            0.003763,            0.003763,            0.068486,             0.19396,              0.2527,            0.099302,             0.25254,            0.087944,             0.23788,             0.98151,             0.94403,             0.28262,             0.68094,             0.24209
                  65,            0.067609,             0.10221,            0.037472,             0.69585,             0.47576,             0.56151,             0.15916,            0.064658,            0.037036,            0.042511,            0.003664,            0.003664,            0.003664,            0.068486,             0.19396,              0.2527,            0.099302,             0.25254,            0.087944,             0.23788,             0.98151,             0.94403,             0.28262,             0.68094,             0.24209
                  66,            0.066579,            0.090163,            0.037363,             0.69585,             0.47576,             0.56151,             0.15916,            0.064658,            0.037036,            0.042511,            0.003565,            0.003565,            0.003565,            0.068486,             0.19396,              0.2527,            0.099302,             0.25254,            0.087944,             0.23788,             0.98151,             0.94403,             0.28262,             0.68094,             0.24209
                  67,            0.064285,            0.087781,            0.039949,              0.7045,             0.45616,             0.55424,             0.21619,            0.052318,             0.03454,            0.042077,            0.003466,            0.003466,            0.003466,             0.18974,             0.22491,             0.52443,             0.11914,             0.14013,            0.098812,              0.2475,              0.9765,             0.95119,             0.22319,             0.64124,             0.28581
                  68,            0.056086,            0.085672,            0.036237,              0.7045,             0.45616,             0.55424,             0.21619,            0.052318,             0.03454,            0.042077,            0.003367,            0.003367,            0.003367,             0.18974,             0.22491,             0.52443,             0.11914,             0.14013,            0.098812,              0.2475,              0.9765,             0.95119,             0.22319,             0.64124,             0.28581
                  69,            0.059448,            0.089141,            0.040323,              0.7045,             0.45616,             0.55424,             0.21619,            0.052318,             0.03454,            0.042077,            0.003268,            0.003268,            0.003268,             0.18974,             0.22491,             0.52443,             0.11914,             0.14013,            0.098812,              0.2475,              0.9765,             0.95119,             0.22319,             0.64124,             0.28581
                  70,            0.057365,             0.10071,            0.038284,             0.70502,             0.45833,              0.5769,             0.27698,            0.048183,            0.032951,            0.041705,            0.003169,            0.003169,            0.003169,             0.16077,             0.26428,             0.59431,             0.15734,             0.35297,             0.13221,             0.23361,             0.95428,             0.96342,             0.27005,             0.64798,             0.39209
                  71,            0.056705,             0.11013,             0.03527,             0.70502,             0.45833,              0.5769,             0.27698,            0.048183,            0.032951,            0.041705,             0.00307,             0.00307,             0.00307,             0.16077,             0.26428,             0.59431,             0.15734,             0.35297,             0.13221,             0.23361,             0.95428,             0.96342,             0.27005,             0.64798,             0.39209
                  72,            0.054946,             0.11266,            0.035685,              0.6975,             0.41667,             0.47145,             0.14524,             0.05224,            0.034452,            0.041482,            0.002971,            0.002971,            0.002971,            0.094004,             0.22426,             0.30656,             0.13782,           0.0041862,             0.10463,             0.22993,             0.93952,             0.96266,             0.27158,            0.013462,             0.41153
                  73,            0.055115,              0.1054,            0.035687,              0.6975,             0.41667,             0.47145,             0.14524,             0.05224,            0.034452,            0.041482,            0.002872,            0.002872,            0.002872,            0.094004,             0.22426,             0.30656,             0.13782,           0.0041862,             0.10463,             0.22993,             0.93952,             0.96266,             0.27158,            0.013462,             0.41153
                  74,            0.054014,             0.10958,             0.03426,              0.6975,             0.41667,             0.47145,             0.14524,             0.05224,            0.034452,            0.041482,            0.002773,            0.002773,            0.002773,            0.094004,             0.22426,             0.30656,             0.13782,           0.0041862,             0.10463,             0.22993,             0.93952,             0.96266,             0.27158,            0.013462,             0.41153
                  75,            0.055453,            0.088762,            0.034945,             0.71534,               0.375,             0.61039,               0.294,            0.043435,             0.03058,            0.041052,            0.002674,            0.002674,            0.002674,               0.309,             0.26824,             0.59244,             0.19988,             0.25578,             0.13865,             0.40339,             0.95489,             0.97668,             0.31372,             0.66158,             0.35209
                  76,            0.050905,            0.092386,            0.038356,             0.71534,               0.375,             0.61039,               0.294,            0.043435,             0.03058,            0.041052,            0.002575,            0.002575,            0.002575,               0.309,             0.26824,             0.59244,             0.19988,             0.25578,             0.13865,             0.40339,             0.95489,             0.97668,             0.31372,             0.66158,             0.35209
                  77,             0.04999,            0.083395,            0.038541,             0.71534,               0.375,             0.61039,               0.294,            0.043435,             0.03058,            0.041052,            0.002476,            0.002476,            0.002476,               0.309,             0.26824,             0.59244,             0.19988,             0.25578,             0.13865,             0.40339,             0.95489,             0.97668,             0.31372,             0.66158,             0.35209
                  78,            0.048705,            0.088111,            0.037422,             0.71787,             0.42556,             0.60353,             0.29524,            0.041968,            0.030224,            0.040834,            0.002377,            0.002377,            0.002377,             0.28759,             0.27991,             0.66006,             0.15793,             0.24805,             0.13788,             0.40734,             0.95961,             0.98031,             0.28003,             0.64765,             0.34621
                  79,            0.047204,            0.088892,            0.036327,             0.71787,             0.42556,             0.60353,             0.29524,            0.041968,            0.030224,            0.040834,            0.002278,            0.002278,            0.002278,             0.28759,             0.27991,             0.66006,             0.15793,             0.24805,             0.13788,             0.40734,             0.95961,             0.98031,             0.28003,             0.64765,             0.34621
